,title,author,rating,publisher,page_count,generes,language
61,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,HarperCollins UK,864,Fantasy,English
62,Spider-Man: Anti-Venom,Dan Slott,4,Marvel Entertainment,96,Superheroes,English
63,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,W. W. Norton & Company,256,Business,English
64,Watchmen (2019 Edition),Alan Moore,4.2000000000000002,DC Comics,448,Superheroes,English
65,Business Strategy (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Business,English
66,Total Control,David Baldacci,4,Pan Macmillan,624,Crime,English
67,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.5999999999999996,Hachette UK,400,Fantasy,English
68,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,4.4000000000000004,Blake Pierce,250,Thrillers,English
69,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.0999999999999996,Random House,416,Economics,English
70,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,HarperCollins UK,4544,Fiction,English
71,Boy Erased: A Memoir,Garrard Conley,4,Penguin,352,Biography,English
72,Management (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Economics,English
73,The Mysterious Affair at Styles,Agatha Christie,4.4000000000000004,HarperCollins UK,208,Fiction,English
74,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,HarperCollins UK,4544,Fantasy,English
75,Spider-Verse: Volume 1,Dan Slott,4.4000000000000004,Marvel Entertainment,624,Superheroes,English
76,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,Penguin,352,Economics,English
77,We Should All Be Feminists,Chimamanda Ngozi Adichie,4.2000000000000002,Vintage,32,Social Science,English
78,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,HarperCollins UK,864,Adventure,English
79,How to Understand Business Finance: Edition 2,Bob Cinnamon,3.5,Kogan Page Publishers,176,Economics,English
80,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,4.7000000000000002,Hachette UK,688,Fantasy,English
81,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.5999999999999996,HarperCollins UK,1216,Fantasy,English
82,After Anna,Alex Lake,4.0999999999999996,HarperCollins UK,416,Adventure,English
83,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4000000000000004,Morgan Rice,250,Fantasy,English
84,Rework,Jason Fried,4.0999999999999996,Currency,288,Economics,English
85,No One Is Too Small to Make a Difference,Greta Thunberg,5,Penguin,112,Biography,English
86,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.7999999999999998,Hachette UK,400,Mythical Creatures,English
87,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7000000000000002,Hachette UK,30,Economics,English
88,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,,Hachette UK,384,Thrillers,English
89,The Mysterious Affair at Styles,Agatha Christie,4.4000000000000004,HarperCollins UK,208,Classics,English
90,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,HarperCollins UK,864,Epic,English
91,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,4.0999999999999996,Vintage Crime/Black Lizard,416,Fiction,English
92,Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,3.7999999999999998,HarperCollins Leadership,112,Business,English
93,The Mysterious Affair at Styles,Agatha Christie,4.4000000000000004,HarperCollins UK,208,Horror,English
94,After Anna,Alex Lake,4.0999999999999996,HarperCollins UK,416,Thrillers,English
95,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,4.7000000000000002,Hachette UK,688,Adventure,English
96,Watchmen (2019 Edition),Alan Moore,4.2000000000000002,DC Comics,448,Comics,English
97,Night of the Bold (Kings and Sorcerers--Book 6),Morgan Rice,4.2999999999999998,Morgan Rice,250,Fantasy,English
98,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,Blake Pierce,250,Detective,English
99,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.5999999999999996,Harper Collins,224,Economics,English
100,Homecoming (A Chloe Fine Psychological Suspense Mystery—Book 5),Blake Pierce,4.5999999999999996,Blake Pierce,250,Mystery,English
101,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5,Hachette UK,336,Biography,English
102,Business Strategy (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Economics,English
103,Night of the Bold (Kings and Sorcerers--Book 6),Morgan Rice,4.2999999999999998,Morgan Rice,250,Fiction,English
104,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7000000000000002,Hachette UK,30,Business,English
105,Principles: Life and Work,Ray Dalio,4.7000000000000002,Simon and Schuster,592,Economics,English
106,A Trace of Crime (a Keri Locke Mystery--Book #4),Blake Pierce,4.7000000000000002,Blake Pierce,250,Fiction,English
107,Boy Erased: A Memoir,Garrard Conley,4,Penguin,352,Biography,English
108,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,HarperCollins UK,40,Traditional,English
109,The Magic of Thinking Big,David J. Schwartz,4.5999999999999996,Penguin,256,Business,English
110,The Magic of Thinking Big,David J. Schwartz,4.5999999999999996,Penguin,256,Economics,English
111,Shantaram,Gregory David Roberts,4.5,Hachette UK,944,Fiction,English
112,Final Option: 'The best one yet',Clive Cussler,5,Penguin UK,400,Crime,English
